,_id,admin,allGroups,amount,cash,cashDoc,contents,context,description,gameCode,group,groupName,humanTime,item,itemNo,key,newPrice,newYearValue,note,oldPrice,player,playername,pointsAwarded,price,recipient,recipientGroup,recipientName,recvAmt,recvRes,recvResNo,recvResRecipient,recvResRequester,reqAmt,reqId,reqLogContents,reqRes,reqResNo,reqResRecipient,reqResRequester,requester,requesterGroup,requesterName,response,size,startingYear,stockDoc,timestamp,user,year,zone
2183,CsMjR649Rkigo7eKN,,,,,,,"{u'username': u'frieda-reichsman', u'zone': 242, u'requestedGroup': 4, u'timestamp': 1486232545779.0, u'gameCode': u'1730', u'user': u'bZMb5bCAeGErJ3gkn', u'year': 2255, u'_id': u'BPmzbFGQKBiFFhriL', u'type': u'request', u'contents': {u'reqAmt': 16, u'reqRes': u'cotton', u'read': 0, u'reqResRequester': {u'item': u'cotton', u'price': 5, u'gameCode': u'1730', u'groupName': u'red-group', u'amount': 0, u'gID': 1, u'stdev': 50, u'itemNo': u'c8', u'_id': u'j3pz3WEYtNTXd975R', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'recvResRequester': {u'item': u'stone', u'price': 1.42, u'gameCode': u'1730', u'groupName': u'red-group', u'amount': 38, u'gID': 1, u'stdev': 50, u'itemNo': u'c6', u'_id': u'KAbwGR8z3cCydnEok', u'yearmod': {u'modAmount': 0.5, u'kind': u'polluted', u'operation': u'multiply'}, u'mean': 125}, u'recvResNo': u'c6', u'recvAmt': 30, u'recvRes': u'stone', u'recvResRecipient': {u'item': u'stone', u'price': 5, u'gameCode': u'1730', u'groupName': u'blue-group', u'amount': 0, u'gID': 4, u'stdev': 50, u'itemNo': u'c6', u'_id': u'fqvLHTXfoq6xy5LRQ', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'requester': {u'username': u'magy', u'group': 1, u'id': u'oMKJWQrcBKzw45gjk'}, u'reqResRecipient': {u'item': u'cotton', u'price': 3.78, u'gameCode': u'1730', u'groupName': u'blue-group', u'amount': 16, u'gID': 4, u'stdev': 50, u'itemNo': u'c8', u'_id': u'MLmXcEThSwQZemADj', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'reqResNo': u'c8'}}",TradeCausedUpdate,1730,1,,2/4/17 13:22,stone,c6,StockPriceChange,2.15,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2184,iaEfFA7t6RBgFoaYh,,,,,,,,TradeCausedUpdate,1730,1,,2/4/17 13:22,555,555,StockPriceChange,1236.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2185,cxz9DpJYzW3ZhinvL,,,,,,,"{u'username': u'frieda-reichsman', u'zone': 242, u'requestedGroup': 4, u'timestamp': 1486232545779.0, u'gameCode': u'1730', u'user': u'bZMb5bCAeGErJ3gkn', u'year': 2255, u'_id': u'BPmzbFGQKBiFFhriL', u'type': u'request', u'contents': {u'reqAmt': 16, u'reqRes': u'cotton', u'read': 0, u'reqResRequester': {u'item': u'cotton', u'price': 5, u'gameCode': u'1730', u'groupName': u'red-group', u'amount': 0, u'gID': 1, u'stdev': 50, u'itemNo': u'c8', u'_id': u'j3pz3WEYtNTXd975R', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'recvResRequester': {u'item': u'stone', u'price': 1.42, u'gameCode': u'1730', u'groupName': u'red-group', u'amount': 38, u'gID': 1, u'stdev': 50, u'itemNo': u'c6', u'_id': u'KAbwGR8z3cCydnEok', u'yearmod': {u'modAmount': 0.5, u'kind': u'polluted', u'operation': u'multiply'}, u'mean': 125}, u'recvResNo': u'c6', u'recvAmt': 30, u'recvRes': u'stone', u'recvResRecipient': {u'item': u'stone', u'price': 5, u'gameCode': u'1730', u'groupName': u'blue-group', u'amount': 0, u'gID': 4, u'stdev': 50, u'itemNo': u'c6', u'_id': u'fqvLHTXfoq6xy5LRQ', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'requester': {u'username': u'magy', u'group': 1, u'id': u'oMKJWQrcBKzw45gjk'}, u'reqResRecipient': {u'item': u'cotton', u'price': 3.78, u'gameCode': u'1730', u'groupName': u'blue-group', u'amount': 16, u'gID': 4, u'stdev': 50, u'itemNo': u'c8', u'_id': u'MLmXcEThSwQZemADj', u'yearmod': {u'kind': u'none'}, u'mean': 250}, u'reqResNo': u'c8'}}",TradeCausedUpdate,1730,4,,2/4/17 13:22,stone,c6,StockPriceChange,3.12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2186,azoJC8igiep8D8JCj,,,,,,,,TradeCausedUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2187,gfJ7k22K7Sgu9i6iT,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,gold,e1,StockPriceChange,9.74,,,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2188,EMv5AnzQNmWQTh7Q4,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2189,S7fiHdT2TdMeXgQf6,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,ruby,e6,StockPriceChange,9.49,,,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2190,PoisYRCvWeLWc8rHT,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2191,aDzHwbT7KpsEozvS2,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,iridium,e5,StockPriceChange,8.72,,,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2192,f99bHvtDNQ2Y3ZK58,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
